Ref Des, Mid X (mm), Mid Y (mm), Rotation, Comment, Package, LCSC Part number
R1_PINH,153.07,4.14,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,89.64,48.56,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,58.26,21.95,90.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,63.59,4.45,90.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,151.27,4.18,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,89.23,62.99,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,143.57,52.88,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,153.83,53.70,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,120.45,34.04,270.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,115.49,53.53,0.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,60.94,97.25,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,93.40,60.09,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,129.59,58.07,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,61.09,21.99,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,9.42,99.41,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,69.69,17.03,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,24.00,107.43,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,60.47,107.49,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,93.84,51.45,270.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,45.64,107.58,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,19.06,42.03,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,20.39,107.41,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,152.59,10.71,90.00,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,59.91,3.61,90.00,SJ1,SJ
TP1,29.76,4.09,0.00,TPTP20R,TP20R
TP10,5.00,37.81,0.00,TPTP20R,TP20R
TP11,5.04,34.69,0.00,TPTP20R,TP20R
TP12,75.55,105.61,0.00,TPTP20R,TP20R
TP13,138.10,61.61,0.00,TPTP20R,TP20R
TP14,83.95,105.51,0.00,TPTP20R,TP20R
TP15,5.20,31.41,0.00,TPTP20R,TP20R
TP16,79.85,105.61,0.00,TPTP20R,TP20R
TP17,5.29,28.49,0.00,TPTP20R,TP20R
TP2,24.68,4.09,0.00,TPTP20R,TP20R
TP3,19.60,4.09,0.00,TPTP20R,TP20R
TP4,14.52,4.09,0.00,TPTP20R,TP20R
TP5,9.44,4.09,0.00,TPTP20R,TP20R
TP6,4.36,4.09,0.00,TPTP20R,TP20R
TP7,54.78,62.59,0.00,TPTP20R,TP20R
TP8,5.00,40.89,0.00,TPTP20R,TP20R
TP9,138.42,64.59,0.00,TPTP20R,TP20R
U1,41.79,56.76,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.08,55.18,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,85.30,55.75,90.00,DS3231SN#,SOIC127P1032X265-16N
U4,134.04,54.22,0.00,MAX17048G+T10,SON50P200X200X80-9N
